08/03/2010,28710
09/03/2010,27704
10/03/2010,24378
11/03/2010,19329
13/03/2010,13943
14/03/2010,13007
15/03/2010,20631
16/03/2010,18706
17/03/2010,18470
18/03/2010,18210
19/03/2010,17309
20/03/2010,12796
21/03/2010,13929
22/03/2010,19752
23/03/2010,19145
24/03/2010,19899
25/03/2010,22180
26/03/2010,22081
28/03/2010,15405
29/03/2010,24908
30/03/2010,27707
31/03/2010,23324
01/04/2010,20857
02/04/2010,17589
03/04/2010,12882
04/04/2010,14047
05/04/2010,22191
06/04/2010,24457
07/04/2010,29734
08/04/2010,34348
09/04/2010,22229
10/04/2010,18752
12/04/2010,25951
13/04/2010,24414
14/04/2010,24259
15/04/2010,25847
16/04/2010,21685
17/04/2010,15302
18/04/2010,16045
19/04/2010,24262
20/04/2010,26969
21/04/2010,27085
22/04/2010,24916
23/04/2010,21244
24/04/2010,15231
25/04/2010,16841
27/04/2010,24917
28/04/2010,30671
29/04/2010,26216
30/04/2010,24420
01/05/2010,18273
02/05/2010,18715
03/05/2010,26120
04/05/2010,27024
05/05/2010,29034
06/05/2010,30396
07/05/2010,24365
08/05/2010,19202
09/05/2010,44095
10/05/2010,74778
12/05/2010,81415
13/05/2010,106098
14/05/2010,77910
15/05/2010,40257
16/05/2010,40580
17/05/2010,70206
18/05/2010,56781
19/05/2010,53009
20/05/2010,46874
21/05/2010,45847
22/05/2010,28929
23/05/2010,30980
24/05/2010,44342
25/05/2010,44937
27/05/2010,38831
28/05/2010,31326
29/05/2010,22343
30/05/2010,23681
31/05/2010,39008
01/06/2010,43621
02/06/2010,40919
03/06/2010,37987
04/06/2010,34564
05/06/2010,23560
06/06/2010,25075
07/06/2010,34428
08/06/2010,41715
09/06/2010,38145
11/06/2010,29029
12/06/2010,20585
13/06/2010,26671
14/06/2010,33842
15/06/2010,35240
16/06/2010,34567
17/06/2010,32909
18/06/2010,29172
19/06/2010,24267
20/06/2010,25738
21/06/2010,38031
22/06/2010,40133
23/06/2010,34274
24/06/2010,32502
26/06/2010,20439
27/06/2010,23335
28/06/2010,36250
29/06/2010,61570
30/06/2010,82481
01/07/2010,68073
02/07/2010,40008
03/07/2010,24001
04/07/2010,20805
05/07/2010,28288
06/07/2010,38965
07/07/2010,40800
08/07/2010,40734
10/07/2010,23661
11/07/2010,24353
12/07/2010,39360
13/07/2010,42689
14/07/2010,45567
15/07/2010,39682
16/07/2010,37605
17/07/2010,24061
18/07/2010,23631
19/07/2010,36475
20/07/2010,40126
21/07/2010,43715
22/07/2010,37878
23/07/2010,35107
25/07/2010,24798
26/07/2010,35871
27/07/2010,38831
28/07/2010,42026
29/07/2010,37623
30/07/2010,34099
31/07/2010,23765
01/08/2010,25335
02/08/2010,36369
03/08/2010,36299
04/08/2010,42622
05/08/2010,39047
06/08/2010,34845
07/08/2010,23722
09/08/2010,37404
10/08/2010,37343
11/08/2010,46179
12/08/2010,41399
13/08/2010,40255
14/08/2010,30355
15/08/2010,28830
16/08/2010,43485
17/08/2010,42533
18/08/2010,48443
19/08/2010,45183
20/08/2010,38269
21/08/2010,34343
22/08/2010,45418
24/08/2010,42161
25/08/2010,45296
26/08/2010,46887
27/08/2010,39075
28/08/2010,100324
29/08/2010,118485
30/08/2010,117090
31/08/2010,103719
01/09/2010,98146
02/09/2010,59018
03/09/2010,48124
04/09/2010,31231
05/09/2010,29646
06/09/2010,36060
08/09/2010,48290
09/09/2010,46511
10/09/2010,41961
11/09/2010,32017
12/09/2010,38785
13/09/2010,45525
14/09/2010,56213
15/09/2010,56460
16/09/2010,51180
17/09/2010,49493
18/09/2010,34353
